question,answer
"Specifications of required quality and components represent part 
of the contract documents and are detailed under various sections of particu-
lar specifications?","detailed under various sections of particu-
lar specifications."
"Generally, the contract documents include all the details as 
well as references to generally accepted quality standards published by inter-
national standards organizations?","hed by inter-
national standards organizations."
"Proper specifications and contract docu-
mentations are extremely important as these are used by the contractor as a 
measure of quality compliance during the construction process?",extremely important as these.
"Once the contract is signed, it commits all the parties to 
obligations and liabilities and is enforceable by law?","signed, it commits all the parties to 
obligations and liabilities and."
"There are standard sets of conditions of contract published by engineering 
institutes/societies and other bodies?","hed by engineering 
institutes/societies and other bodies."
"Depending on the need for the con-
struction project and the type of contract arrangements, an appropriate set 
of condition of contracts is selected?",selected.
"Detailed Plan
As per PMBOK, a project plan is used to
•	 Guide project execution
•	 Document project planning assumptions
•	 Document project planning decisions regarding alternatives chosen
•	 Define key management views regarding content, scope, and timing
•	 Provide a baseline for progress measurement and project control
A project plan is a formal, approved document used to manage project exe-
cution?","used to
•	 Guide project execution
•	 Document project planning assumptions
•	 Document project planning dec."
It is the evaluation of time and effort to complete the project?,the evaluation of time and effort to complete the project.
"Based on 
the detailed engineering and design drawings and contract documents, the 
design team (consultant) prepares a detailed plan for construction?",s a detailed plan for construction.
"The plan 
is based on the following:
•	 Assessment of owner’s capabilities and final estimated cost (budget)
•	 Scheduling information
•	 Resource management, which includes availability of financial resour­
ces, expected cash flow statement, supplies, and human resources
A typical preliminary work program prepared based on the contracted 
construction documents is illustrated in Figure 10?","based on the following:
•	 Assessment of owner’s capabilities and final estimated cost (budget)
•	 Scheduling information
•	 Resource management, which includes availability of financial resour­
ces, expected cash flow statement, supplies, and human resources
A typical preliminary work program prepared based on the contracted 
construction documents."
"365
Managing Construction Projects in Oil and Gas
Preliminary work program
Year
1998
1999
2000
2001
Month O
1
2
3
4
5
6
4
10
1
Mobilization
ID
Task name
Marine works
2
3
Dredging and reclamation
Boundary walls
Breakwaters
Jetties and piers
4
5
6
7
Pontoons
Transfer pit
8
9
Shiplift and hoist equipment
10
Bulidings
Buliding structure/Group 1
Buliding structure/Group 2
Buliding structure/Group 3
Buliding services
Buliding finishes
Furniture and equipment
Infrastructure
Infrastructure/utilities
Infrastructure/hard landscaping
Infrastructure/soft landscaping
Testing and commissioning
Final cleaning and handing over
11
12
13
14
15
16
17
18
19
20
21
22
6
23
8
14
12
10
20
22
22
6
11
8
6
4
Infrastructure summary bar
Buildings structure summary bar
12
12
25
Marine works summary bar
7
8
9 10 11 12 13 14 15
19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
16 17 18
N
D J
F
M A M
J
J
A
S
O N D
J
F M A M J
J
A
S
O N D
J
F M A M
J
J
A
S
FIGURE 10?","t equipment
10
Bulidings
Buliding structure/Group 1
Buliding structure/Group 2
Buliding structure/Group 3
Buliding services
Buliding fin."
"366
Project Management for the Oil and Gas Industry
Budget
The budget for a project is the maximum amount of money the owner is 
willing to spend for its design and construction?",the maximum amount of money the owner.
"The preparation of a bud-
get is an important activity that results in a time-phased plan summarizing 
expected expenditure, income, and milestones?","an important activity that results in a time-phased plan summarizing 
expected expenditure, income, and milestones."
"Normally, project budgeting 
starts with the identification of need; however, the detailed cost estimate is 
done during the engineering phase?",done during the engineering phase.
"On the basis of work packages, the con-
sultant/designer starts computing the project budget?","of work packages, the con-
sultant/designer starts computing the project budget."
"A bill of material or 
bill of quantities is prepared based on the approved design drawings?",prepared based on the approved design drawings.
"The 
BOQ is considered as a base for computing the budget?",considered as a base for computing the budget.
"If the budget exceeds 
the owner’s capability of financing the project, then the designs are reviewed 
to ensure that it meets the owner’s estimated cost to build the facility?","reviewed 
to ensure that it meets the owner’s estimated cost to build the facility."
"Cash Flow
The estimate of cash flow requirement for the project is prepared from the 
preliminary estimate and preliminary work program?","prepared from the 
preliminary estimate and preliminary work program."
"Cash flow 
is used as part of the control package during construction?",used as part of the control package during construction.
"Tender/Bidding
Most of the cost of the construction project is expended during the construc-
tion phase?","expended during the construc-
tion phase."
"In most cases, the contractor is responsible for procurement of 
6,000,000?","responsible for procurement of 
6,000,000."
"12 lists contract documents consisting of tendering procedures, 
contract conditions, and technical conditions of major construction projects 
in Kuwait?",ts contract documents cons.
"In many countries, it is a legal requirement that government-funded proj-
ects employ the competitive bidding method?","a legal requirement that government-funded proj-
ects employ the competitive bidding method."
"This requirement gives an 
opportunity to all qualified contractors to participate in the tender, and nor-
mally the contract is awarded to the lowest bidder?","requirement gives an 
opportunity to all qualified contractors to participate in the tender, and nor-
mally the contract."
"Negotiated contract systems have 
flexibility of pricing arrangement as well as the selection of the contractor 
based on his expertise or the owner’s past experience with the contractor 
successfully completing one of his or her projects?",expert.
"The negotiated contract 
systems are based on following forms of payment:
	
1?","based on following forms of payment:
	
1."
"Cost plus contracts: It is a type of contract in which the contrac-
tor agrees to do the work for the cost of time and material, plus an 
TABLE 10?","a type of contract in which the contrac-
tor agrees to do the work for the cost of time and material, plus an 
TABLE 10."
"(I) tendering procedures consisting of the following:
I?","ting of the following:
I."
"7	
List of tender documents
I?","t of tender documents
I."
"(II) contract conditions consisting of the following:
II?","ting of the following:
II."
"(III) technical conditions and amendments, consisting of the following:
III?","ting of the following:
III."
"1	 
General specifications for building and engineering works, specific to ministry of public 
works?","try of public 
works."
"5	 Price analysis schedule
III?","schedule
III."
"7	 Technical requirements (if any), and any other instructions issued by the employer
368
Project Management for the Oil and Gas Industry
agreed-upon amount of profit?","sued by the employer
368
Project Management for the Oil and Gas Industry
agreed-upon amount of profit."
"The following are the different types 
of cost plus contracts:
	
a?","the different types 
of cost plus contracts:
	
a."
"Reimbursement contracts: It is a type of contract in which the con-
tractor agrees to do the work for the cost as per schedule of rates, or 
bill of quantities, or bill of material?","a type of contract in which the con-
tractor agrees to do the work for the cost as per schedule of rates, or 
bill of quantities, or bill of material."
"Fixed price contracts: With this type of contract, the contractor agrees 
to work with a fixed price (it is also called lump sum) for the specified 
and contracted work?","type of contract, the contractor agrees 
to work with a fixed price (it."
"Any extra work is executed only upon receipt 
of instruction from the owner?","executed only upon receipt 
of instruction from the owner."
"Fixed price contracts are generally 
inappropriate for work involving major uncertainties, such as work 
involving new technologies?","generally 
inappropriate for work involving major uncertainties, such as work 
involving new technologies."
"Target cost contracts: A target cost contract is based on the concept 
of a top-down approach, which provides a fixed price for an agreed 
range of out-turn costs around the target?","based on the concept 
of a top-down approach, which provides a fixed price for an agreed 
range of out-turn costs around the target."
"In this type of contract, 
overrun or underspend is shared by the owner and the contractor at 
predetermined agreed-upon percentages?","type of contract, 
overrun or underspend."
"Guaranteed maximum price contracts (cost plus guaranteed maxi-
mum price): With this type of contract, the owner and contractor 
agree to a project cost guaranteed by the contractor as maximum?","type of contract, the owner and contractor 
agree to a project cost guaranteed by the contractor as maximum."
"It is the owner’s desire that his or her facility be of good quality and the 
price reasonable?",the owner’s desire that h.
"In order to achieve this, the owner has to share risks and/
or provide incentives and safeguards to enhance the quality of construction?",", the owner has to share r."
"The risk involved in various types of contracts based on forms of payment 
is as follows:
	
1?",k involved in various types of contracts based on forms of payment.
"Cost plus—high risk
	
2?","k
	
2."
"Fixed price—low risk
In order to maintain a climate of mutual cooperation during construction, 
the owner has to develop an understanding with the contractor?","k
In order to maintain a climate of mutual cooperation during construction, 
the owner has to develop an understanding with the contractor."
"The con-
tract strategy needs to provide incentives and safeguards to deal with the risks?",ks.
"The aim is
	
1?",1.
"To appropriately allocate resources
369
Managing Construction Projects in Oil and Gas
Turner (2003) has further described that, as per Oliver Williamson (1995, 
1996), there are two schemas or vectors to describe the ability of contracts to 
provide ex-ante incentivization and flexible, farsighted ex-post governance?","two schemas or vectors to describe the ability of contracts to 
provide ex-ante incentivization and flexible, farsighted ex-post governance."
"The first schema has three parameters:
•	 The reward it provides the contractor to share the owner’s objectives 
and perform
•	 The associated risk
•	 The safeguard provided by the owner through contract to shield the 
contractor from the risk
Figure 10?","k
•	 The safeguard provided by the owner through contract to shield the 
contractor from the r."
"Although the schema in the figure assumes a safeguard risk, it can 
deal with only a risk that is foreseen?","k, it can 
deal with only a r."
"The reliance on monitoring and related administrative controls 
(transaction costs)
	
4?","trative controls 
(transaction costs)
	
4."
"The reliance on court ordering
Risk
Present
High incentive
Medium incentive
 No safeguard or
incentive necessary 
Absent
Low incentive
Absent
Present
Safeguard
FIGURE 10?","k
Present
High incentive
Medium incentive
 No safeguard or
incentive necessary 
Absent
Low incentive
Absent
Present
Safeguard
FIGURE 10."
"Reprinted with permission from Ashgate Publishing Limited, Farnham, UK?",sion from Ashgate Publ.
")
370
Project Management for the Oil and Gas Industry
The incentive profiles of the contract types are summarized in Figure 10?",summarized in Figure 10.
"In the case of a competitive bidding system, it is necessary that the detailed 
design and specifications for the project be prepared by the designer for bid-
ding purposes?","necessary that the detailed 
design and specifications for the project be prepared by the designer for bid-
ding purposes."
"Under the competitive bidding system, normally there are 
four stages in tendering of a construction project:
	
1?","four stages in tendering of a construction project:
	
1."
"Tender preparation and submission
	
4?","sion
	
4."
"Appraisal of tenders, negotiation, and decision
For most construction projects, selection of a tenderer is based on the low-
est tender price?","al of tenders, negotiation, and dec."
"Tenders received are opened and evaluated by the owner/
owner’s representative?","opened and evaluated by the owner/
owner’s representative."
"Normally, tender results are declared in the official 
gazette or by some sort of notifications?",decl.
"The successful tenderer is informed 
Contract form 
Reward 
Risk
Safeguard
Cost plus 
   Cost +%fee 
   Cost+ fixed fee 
   Cost + incentive fee 
   Alliance 
High but misaligned 
Medium but 
misaligned 
Medium
Medium
High
High
High
High
High
High
High
Medium
Remeasurement 
   r-sor 
   r-boq 
   r-bom    
Low and misaligned 
Low
Low
Low
Medium
Medium
High
Medium
Low
Fixed price 
   Build only 
   Specification a 
   Specification b 
   Cardinal points 
Low
Low
Medium
High
Low
Low
Medium
High
Low
Low
Low
Low (insurance) 
Other
   Target price 
   Time and materials 
   Budget or gmp 
Medium
High
Medium
High
Medium
Low
Routine contracts 
   Market 
   Hierarchy 
High
Low
Low
High
Low
High
FIGURE 10?","informed 
Contract form 
Reward 
R."
"Reprinted with permission from Ashgate Publishing Limited, Farnham, UK?",sion from Ashgate Publ.
")
371
Managing Construction Projects in Oil and Gas
of the acceptance of the proposal and is invited to sign the contract?",invited to sign the contract.
"The 
tenderer has to submit the performance bond before the formal contract 
agreement is signed?",signed.
"If a successful tenderer fails to submit the performance 
bond within the specified period or withdraws his tender, then the contrac-
tor loses the initial bond and may be subjected to other regulatory applicable 
conditions?","tender, then the contrac-
tor loses the initial bond and may be subjected to other regulatory applicable 
conditions."
"Construction
Construction is the translation of the owner’s goals and objectives into a 
facility built by the contractor as stipulated in the contract documents, plans, 
and specifications within budget and on schedule?","the translation of the owner’s goals and objectives into a 
facility built by the contractor as stipulated in the contract documents, plans, 
and specifications within budget and on schedule."
"The construction phase 
is an important phase in construction projects?",an important phase in construction projects.
"A majority of total project 
budget and schedule is expended during construction?",expended during construction.
"Similar to costs, the 
time required for the construction phase of the project is much higher than 
the time required for the preceding phases?","much higher than 
the time required for the preceding phases."
"Construction activities involve 
Contract form 
Incentive intensity Adaptiveness
Transaction cost 
Safeguard
Cost plus 
   Cost + %fee 
   Cost + fixed fee 
   Cost + incentive fee 
   Alliance 
Misaligned 
Low
Medium
High
High
High
High
High
High
High
High
High
Low
Low
Low
Low
Remeasurement 
   r-sor 
   r-boq 
   r-bom    
Misaligned 
Low
Low
Medium
Medium
Medium
High
Medium
Low
Low
Low
Low
Fixed price 
   Build only 
   Specification a 
   Specification b 
   Cardinal points 
Low
Low
Medium
High
Low
Low
Medium
High
High
High
Medium
Low
High
High
Medium
Low
Other
   Target price 
   Time and materials 
   Budget or gmp 
Medium
Low
Low
Low
High
High
Medium
High
Routine contracts 
   Market 
   Hierarchy 
High
Low
Low
High
Low
High
High
Low
FIGURE 10?","aligned 
Low
Medium
High
High
High
High
High
High
High
High
High
Low
Low
Low
Low
Remeasurement 
   r-sor 
   r-boq 
   r-bom    
M."
"Reprinted with permission from Ashgate Publishing Limited, Farnham, UK?",sion from Ashgate Publ.
"Construction 
activities are actually carried out by the contractor’s own workforce or by 
subcontractors?","actually carried out by the contractor’s own workforce or by 
subcontractors."
"Oberlender (2000) has described the importance of construction in the fol-
lowing words:
The construction phase is important because the quality of the completed 
project is highly dependent on the workmanship and management of 
construction?","important because the quality of the completed 
project."
"The quality of construction depends on the completeness 
and quality of the contract documents that are prepared by the designer 
and three other factors: laborers who have the skills necessary to pro-
duce the work, field supervisors who have the ability to coordinate the 
numerous activities that are required to construct the project in the field, 
and the quality of materials that are used for construction of project?","ors who have the ability to coordinate the 
numerous activities that are required to construct the project in the field, 
and the quality of materials that are used for construction of project."
"Skilled laborers and effective management of the skilled laborers are 
both required to achieve a quality project?",both required to achieve a quality project.
"258)
It is usual to invite contractors to compete for a contract for construction 
work, in the expectation that they will plan to do the work efficiently and 
therefore at a minimum cost?","usual to invite contractors to compete for a contract for construction 
work, in the expectation that they will plan to do the work efficiently and 
therefore at a minimum cost."
"Once the contract is awarded to the successful 
bidder (contractor), it is the responsibility of the contractor to respond to the 
needs of the client (owner) by building the facility as specified in the contract 
documents, drawings, and specifications within the budget and on time?","awarded to the successful 
bidder (contractor), it."
"The owner also appoints an engineer to supervise the construction pro-
cess?","e the construction pro-
cess."
"It is a normal practice for the designer/consultant of the project to be 
contracted by the owner to supervise the construction process?","a normal practice for the designer/consultant of the project to be 
contracted by the owner to superv."
"The engi-
neer is responsible for achieving project quality goals and is also responsible 
for implementing the procedures specified in the contract documents?",responsible for achieving project quality goals and.
13 lists the responsibilities the owner delegates to the engineer?,ts the responsibilities the owner delegates to the engineer.
"Project methodology
The engineer appoints an engineer’s representative to supervise the project 
construction process?","e the project 
construction process."
"The engineer’s representative is supported by a super-
vision team consisting of professionals having experience and expertise in 
373
Managing Construction Projects in Oil and Gas
supervision and administration of similar construction projects?","supported by a super-
v."
"The engi-
neer’s representative is also called the resident engineer?",also called the resident engineer.
"Depending on the 
type and size of the project, the supervision team usually consists of the 
following personnel:
	
1?",ion team usually cons.
"Contract administrator/quantity surveyor
	
3?","trator/quantity surveyor
	
3."
"13
Responsibilities of Supervision Consultant
Serial Number
Description
1
Achieving the quality goal as specified
2
Review contract drawings and resolve technical discrepancies/errors in the 
contract documents
3
Review construction methodology
4
Approval of contractor’s construction schedule
5
Regular inspection and checking of executed works
6
Review and approval of construction materials
7
Review and approval of shop drawings
8
Inspection of construction material
9
Monitoring and controlling construction expenditure
10
Monitoring and controlling construction time
11
Maintaining project record
12
Conduct progress and technical coordination meetings
13
Coordination of owner’s requirements and comments related to site 
activities
14
Project-related communication with contractor
15
Coordination with regulatory authorities
16
Processing of site work instruction for the owner’s action
17
Evaluation and processing of variation order/change order
18
Recommendation of contractor’s payment to owner
19
Evaluating and making decisions related to unforeseen conditions
20
Monitor safety at site
21
Supervise testing, commissioning, and handover of the project
22
Issue substantial completion certificate
374
Project Management for the Oil and Gas Industry
The construction phase consists of various activities such as mobiliza-
tion, execution of work, planning and scheduling, control and monitoring, 
management of resources/procurement, quality, and inspection?","ion Consultant
Serial Number
Description
1
Achieving the quality goal as specified
2
Review contract drawings and resolve technical d."
"These activities are performed by various parties having contractual 
responsibilities to complete the specified work?","performed by various parties having contractual 
responsibilities to complete the specified work."
"Coordination among these 
parties is essential to ensure that the constructed facility meets the owner’s 
objectives?","essential to ensure that the constructed facility meets the owner’s 
objectives."
"Mobilization
The contractor is given a few weeks to start the construction work after the 
signing of the contract?","given a few weeks to start the construction work after the 
signing of the contract."
"The activities to be performed during the mobili-
zation period are defined in the contract documents?",defined in the contract documents.
"During this period, 
the contractor is required to perform many of the activities before the 
beginning of actual construction work at the site?","period, 
the contractor."
"Necessary permits are 
obtained from the relevant authorities to start the construction work?",obtained from the relevant authorities to start the construction work.
"After 
being granted access to the construction site by the owner, the contractor 
starts mobilization work, which consists of preparation of site offices/field 
offices for the owner, the supervision team (consultant), and the contrac-
tor himself?","ts of preparation of site offices/field 
offices for the owner, the superv."
"This includes all the necessary on-site facilities and services 
necessary to carry out specific tasks?","includes all the necessary on-site facilities and services 
necessary to carry out specific tasks."
"Mobilization activities usually occur 
at the beginning of a project but can occur anytime during a project when 
specific on-site facilities are required?",required.
"Acceptance of project by owner
Resources
Execution of works
Approval of works
Testing, commissioning, handover
Inspection
Beginning of construction phase
Mobilization
Monitor and
control
Staff approval
Signing of contract
Construction
schedule
Shop drawings
Material
Quality
control plan
Safety
program
Quality
control
FIGURE 10?","sioning, handover
Inspection
Beginning of construction phase
Mobilization
Monitor and
control
Staff approval
Signing of contract
Construction
schedule
Shop drawings
Material
Quality
control plan
Safety
program
Quality
control
FIGURE 10."
"375
Managing Construction Projects in Oil and Gas
Examples of mobilization activities include
•	 Set up site offices and storage
•	 Construct temporary access roads, lay down areas and perimeter fences
•	 Install the necessary utilities for construction
•	 Set up a temporary firefighting system
•	 Perform site survey and testing
•	 Satisfy health and site safety requirements
•	 Submit preliminary construction program
•	 Selection of core staff as mentioned in the contract documents
•	 Insurance policies
•	 Selection of subcontractor (this may be an ongoing activity per the 
approved schedule)
In anticipation of the award of contract, the contractor begins the following 
activities much in advance, but these are part of contract documents, and the 
contractor’s action is required immediately after signing of the contract in 
order to start construction:
•	 Mobilization of construction equipment and tools
•	 Workforce to execute the project
For a smooth flow of construction process activities, proper communica-
tion and submittal procedure need to be established among all concerned 
parties at the beginning of the construction activities?","fy health and site safety requirements
•	 Submit preliminary construction program
•	 Selection of core staff as mentioned in the contract documents
•	 Insurance policies
•	 Selection of subcontractor (th."
"14 illus-
trates an example matrix for site administration of a building construction 
project?","tration of a building construction 
project."
"Correspondence between consultant and contractor is normally 
through letters or job site instructions?","normally 
through letters or job site instructions."
"42 is a job site instruction 
form used by the consultant to communicate with the contractor?","a job site instruction 
form used by the consultant to communicate with the contractor."
"Execution of Works
According to ICE (1996):
The contractor is responsible for construction and maintaining the works 
in accordance with the contract drawings, specifications and other docu-
ments and also further information and instruction issued in accordance 
with the contract?","responsible for construction and maintaining the works 
in accordance with the contract drawings, specifications and other docu-
ments and also further information and instruction."
"The contractor should be as free as possible to plan and 
execute the works in the way he wishes within the terms of his contract, 
so should the sub-contractors?",hes within the terms of h.
"Any requirements for part of a project to 
be finished before the rest and all limits of contractor’s freedom should 
therefore have been stated in the tender document?","hed before the rest and all limits of contractor’s freedom should 
therefore have been stated in the tender document."
"14
Matrix for Site Administration and Communication
Serial Number
Description of Activities
Contractor
Consultant
Owner
1
Communication
1?","tration and Communication
Serial Number
Description of Activities
Contractor
Consultant
Owner
1
Communication
1."
"2 Checklists
P
D
C
5?","ts
P
D
C
5."
"4 Quality
P
C
C
377
Managing Construction Projects in Oil and Gas
Construction activities mainly consist of the following:
•	 Site work such as cleaning and excavation of project site
•	 Construction of foundations, including footings and grade beams
•	 Construction of columns and beams
•	 Forming, reinforcing, and placing of the floor slab
•	 Laying up masonry walls and partitions
•	 Installation of roofing system
•	 Finishes
•	 Furnishings
•	 Conveying system
•	 Installation of firefighting system
•	 Installation of water supply, plumbing, and public health system
•	 Installation of heating, ventilation, and air-conditioning system
•	 Integrated automation system
•	 Installation of electrical lighting and power system
•	 Emergency power supply system
TABLE 10?","t of the following:
•	 Site work such as cleaning and excavation of project site
•	 Construction of foundations, including footings and grade beams
•	 Construction of columns and beams
•	 Forming, reinforcing, and placing of the floor slab
•	 Laying up masonry walls and partitions
•	 Installation of roofing system
•	 Fin."
"14  (continued)
Matrix for Site Administration and Communication
Serial Number
Description of Activities
Contractor
Consultant
Owner
7?","tration and Communication
Serial Number
Description of Activities
Contractor
Consultant
Owner
7."
"1 Snag list
P
P
C
9?","t
P
P
C
9."
"4 Spare parts
P
A
C
9?","parts
P
A
C
9."
"9 Substantial completion certificate
P
B/P
A
P, prepare/initiate; B, advise/assist; R, review/comment; A, approve; D, action; E, attend; 
C, information?",e/ass.
"379
Managing Construction Projects in Oil and Gas
Planning and Scheduling
Project planning is a logical process to ensure that the work of the project is 
carried out
•	 In an organized and structured manner
•	 Reducing uncertainties to a minimum
•	 Reducing risk to a minimum
•	 Establishing quality standards
•	 Achieving results within budget and scheduled time
Prior to the start of execution of a project or immediately after the actual 
project starts, the contractor prepares the project construction plans based 
on the contracted time schedule of the project?",a logical process to ensure that the work of the project.
"Detailed planning is needed 
at the start of construction to decide how to use resources such as labor-
ers, plant, materials, finance, and subcontractors economically and safely to 
achieve the specified objectives?","needed 
at the start of construction to decide how to use resources such as labor-
ers, plant, materials, finance, and subcontractors economically and safely to 
achieve the specified objectives."
"According to Oberlender (2000), “Project Planning is the heart of good 
project management because it provides the central communication that 
coordinates the work of all parties?","the heart of good 
project management because it provides the central communication that 
coordinates the work of all parties."
"Planning also establishes the benchmark 
for the project control system to track the quantity, cost, and timing of work 
required to successfully complete the project?","hes the benchmark 
for the project control system to track the quantity, cost, and timing of work 
required to successfully complete the project."
"Although the most common 
desired result of planning is to finish the project on time, there are other 
benefits that can be derived from good project planning” (p?",to fin.
"The purpose of the project plan is to success-
fully control the project to ensure completion within the budget and sched-
ule constraints?","to success-
fully control the project to ensure completion within the budget and sched-
ule constraints."
"Project planning is the evolution of the time and efforts to 
complete the project?","the evolution of the time and efforts to 
complete the project."
"15 lists the benefits of project planning and 
scheduling?","ts the benefits of project planning and 
scheduling."
"Planning is a mechanism that conveys or communicates to project 
participants what activity is to be done, how, and in what order to meet 
the project objectives by scheduling the activities?",a mechan.
"Project planning is 
required to bring the project to completion on schedule, within budget, 
and in accordance with the owner’s needs as specified in the contract?","required to bring the project to completion on schedule, within budget, 
and in accordance with the owner’s needs as specified in the contract."
"380
Project Management for the Oil and Gas Industry
The following is the list of activities of construction projects normally 
included in the construction program/plan:
	 A?",the l.
"Interior finishes
	
12?","hes
	
12."
"Furnishings
TABLE 10?","hings
TABLE 10."
"Finish the project on time
	 2?","h the project on time
	 2."
"Minimize confusion and misunderstandings
	 5?","understandings
	 5."
"Knowledge of distribution of costs of the project
	10?","tribution of costs of the project
	10."
Reprinted with permission of The McGraw-Hill Companies?,sion of The McGraw-Hill Companies.
"External finishes
	
14?","hes
	
14."
"Testing and commissioning
	
2?","sioning
	
2."
"Cost loading (schedule of item’s pricing based on bill of quantities)
Planning and scheduling are often used synonymously for preparing a 
construction program because both are performed interactively?","often used synonymously for preparing a 
construction program because both."
"Planning 
is the process of identifying the activities necessary to complete the project, 
while scheduling is the process of determining the sequential order of the 
planned activities and the time required to complete the activity?","the process of identifying the activities necessary to complete the project, 
while scheduling."
"Scheduling 
is the mechanical process of formalizing the planned functions, assigning 
the starting and completion dates to each part or activity of the work in 
such a manner that the whole work proceeds in a logical sequence and in an 
orderly and systematic manner?","the mechanical process of formalizing the planned functions, assigning 
the starting and completion dates to each part or activity of the work in 
such a manner that the whole work proceeds in a logical sequence and in an 
orderly and systematic manner."
"The first step in preparation of a construction program is to establish the 
activities, and the next step is to establish the estimated time duration of 
each activity?",to establ.
"The deadline for each activity is fixed, but it is often possible 
to reschedule by changing the sequence in which the tasks are performed, 
while retaining the original estimated time?","fixed, but it."
Construction projects are unique and nonrepetitive in nature?,unique and nonrepetitive in nature.
"Construction 
projects consist of many activities aimed at the accomplishment of a desired 
objective?",t of many activities aimed at the accompl.
"A construction project consists of 
382
Project Management for the Oil and Gas Industry
Readdress
Establishing the project
objective (project logic) 
Update program
Prepare initial activities and
budget estimate 
Develop the schedule
Revise plan
Prepare resource and cost
analysis
Revise cost
Optimize to meet customer
needs 
Validation and plan
approval
Launch the project
Monitor
Control
Take action
Project closure
Review project 
FIGURE 10?","ts of 
382
Project Management for the Oil and Gas Industry
Readdress
Establ."
"383
Managing Construction Projects in Oil and Gas
a number of related activities that are dependent on other activities and can-
not be started until others are completed, and some that can run in parallel?","dependent on other activities and can-
not be started until others."
"The most important point while starting the planning is to establish all the 
activities that constitute the project?",to establ.
"16 lists key principles for plan-
ning and scheduling?","ts key principles for plan-
ning and scheduling."
"Planning involves defining the objectives of the project; listing of tasks 
or jobs that must be performed; determining gross requirements for mate-
rial, equipment, and manpower; and preparing costs and durations for the 
­
various jobs or activities needed for the satisfactory completion of the project?","ting of tasks 
or jobs that must be performed; determining gross requirements for mate-
rial, equipment, and manpower; and preparing costs and durations for the 
­
various jobs or activities needed for the sat."
"There are many different analytical 
and graphical techniques that are commonly used for planning of the proj-
ect?","many different analytical 
and graphical techniques that."
"These are
	
1?",1.
"Matrix schedule
The most widely used forms of program are bar charts and network dia-
grams?","bar charts and network dia-
grams."
"The bar chart is the oldest planning method used in project man-
agement?","the oldest planning method used in project man-
agement."
"It is a graphical representation of the estimated duration of each 
activity and the planned sequence of activities?","a graphical representation of the estimated duration of each 
activity and the planned sequence of activities."
"The horizontal axis repre-
sents the time schedule, whereas the project activities are shown along the 
vertical axis?","repre-
sents the time schedule, whereas the project activities are shown along the 
vertical ax."
"Remember the schedule is the plan for doing the work, and it will never be precisely 
correct
	 6?","the plan for doing the work, and it will never be prec."
"Communicate the plan to parties; any plan is worthless unless it is known
Source:	 G?",worthless unless it.
"Reprinted with permis-
sion of The McGraw-Hill Companies?","-
sion of The McGraw-Hill Companies."
"384
Project Management for the Oil and Gas Industry
Network diagrams such as PERT and CPM are used for scheduling of 
­
complex projects?","used for scheduling of 
­
complex projects."
"PERT/CPM diagrams consist of nodes and links and repre-
sent the entire project as a network of arrows (activities) and nodes (events)?","t of nodes and links and repre-
sent the entire project as a network of arrows (activities) and nodes (events)."
"In order to draw a network diagram, work activities have to be identified, 
the relationships among the activities need to be specified, and a precedence 
relationship between the activities in a particular sequence needs to be 
established?",hed.
The most widely used scheduling technique is CPM?,CPM.
"CPM analysis rep-
resents the set of sequence of predecessor/successor activities that will 
take the longest time to complete?","rep-
resents the set of sequence of predecessor/successor activities that will 
take the longest time to complete."
"The duration of the critical path is the 
sum of all the activity durations along the path?","the 
sum of all the activity durations along the path."
"Thus, the critical path is 
the longest possible path of the project activities network?",the longest possible path of the project activities network.
"There are many computer-based programs available for preparing the net-
work and critical path of activities for construction projects?","many computer-based programs available for preparing the net-
work and critical path of activities for construction projects."
"Most computer programs automate preparation and presentation of various 
planning tools such as the bar chart, PERT, and CPM analysis?",.
"These pro-
grams are capable of storing enormous quantities of data and help process 
and update the program quickly?","capable of storing enormous quantities of data and help process 
and update the program quickly."
"In order to manage and control the project at different levels in the most 
effective manner, it is broken down into a group of smaller subprojects/
subsystems and then into small, well-defined activities?","broken down into a group of smaller subprojects/
subsystems and then into small, well-defined activities."
"This breakdown is 
necessary because of the size and complexity of construction projects, and 
is referred to as work breakdown structure?",breakdown.
"To begin the preparation of the 
detailed construction program, the contractor prepares a WBS?",s a WBS.
"Its purpose 
is to define various activities that must be executed to complete the project?",to define various activities that must be executed to complete the project.
"Control schedule, cost, and quality
Activities are those operations of the plan that take time to carry 
out and on which resources are expended?","those operations of the plan that take time to carry 
out and on which resources."
"Depending on the size of 
the project, the project is divided into multiple zones, and relevant 
activities are considered for each zone to prepare the construction pro-
gram?","divided into multiple zones, and relevant 
activities are considered for each zone to prepare the construction pro-
gram."
"Electromechanical  activities are further divided into first fix, 
­
second fix, and final fix, depending on their relationship with civil and 
architectural works?","further divided into first fix, 
­
second fix, and final fix, depending on their relationship with civil and 
architectural works."
"The construction program is prepared by selecting 
appropriate activities relevant to a particular floor/zone?","prepared by selecting 
appropriate activities relevant to a particular floor/zone."
"These activities 
385
Managing Construction Projects in Oil and Gas
are also considered for preparation of cost and resource loading schedule 
for the project?","also considered for preparation of cost and resource loading schedule 
for the project."
"While preparing the program, the relationships between 
project activities and their dependency and precedence are considered 
by the planner?","considered 
by the planner."
"These activities are connected to their predecessor and 
successor activity based on the way the task is planned to be executed?",planned to be executed.
